elec_pos,depth,rho,cond
14.25,3.732,72.72,0.0138
15.75,3.732,75.264,0.0133
17.25,3.732,76.21,0.0131
18.75,3.732,78.029,0.0128
20.25,3.732,84.532,0.0118
21.75,3.732,90.9,0.011
23.25,3.732,106.58,0.009383
24.75,3.732,118.33,0.008451
26.25,3.732,124.72,0.008018
27.75,3.732,124.71,0.008019
29.25,3.732,125.2,0.007987
30.75,3.732,126.61,0.007898
32.25,3.732,133.3,0.007502
33.75,3.732,149.23,0.006701
35.25,3.732,64.22,0.0156
36.75,3.732,62.841,0.0159
38.25,3.732,59.334,0.0169
39.75,3.732,79.594,0.0126
41.25,3.732,80.688,0.0124
42.75,3.732,106.56,0.009384
44.25,3.732,112.33,0.008902
45.75,3.732,119.99,0.008334
47.25,3.732,139.72,0.007157
48.75,3.732,143.06,0.00699
50.25,3.732,143.89,0.00695
51.75,3.732,144.48,0.006921
53.25,3.732,144.43,0.006924
54.75,3.732,150.58,0.006641
56.25,3.732,146.83,0.006811
57.75,3.732,142.09,0.007038
59.25,3.732,130.44,0.007666
60.75,3.732,127.39,0.00785
62.25,3.732,126.98,0.007875
63.75,3.732,170.33,0.005871
65.25,3.732,1066,0.000938
66.75,3.732,1333.7,0.00075
68.25,3.732,2155.2,0.000464
69.75,3.732,2078.7,0.000481
71.25,3.732,652.94,0.001532
72.75,3.732,558.03,0.001792
74.25,3.732,433.98,0.002304
75.75,3.732,105.95,0.009438
77.25,3.732,106.86,0.009358
78.75,3.732,119.96,0.008336
80.25,3.732,120.49,0.008299
81.75,3.732,116.95,0.008551
83.25,3.732,117.25,0.008529
84.75,3.732,100.29,0.009971
86.25,3.732,100.97,0.009904
87.75,3.732,103.96,0.009619
89.25,3.732,106.19,0.009417
90.75,3.732,111.35,0.008981
92.25,3.732,113.4,0.008818
93.75,3.732,115.72,0.008642
95.25,3.732,117.84,0.008486
96.75,3.732,117.26,0.008528
98.25,3.732,119.14,0.008393
99.75,3.732,120.2,0.008319
101.25,3.732,112.87,0.00886
102.75,3.732,105.21,0.009505
104.25,3.732,97.421,0.0103
105.75,3.732,84.852,0.0118
107.25,3.732,84.196,0.0119
108.75,3.732,73.532,0.0136
110.25,3.732,65.774,0.0152
111.75,3.732,63.664,0.0157
113.25,3.732,63.324,0.0158
114.75,3.732,63.707,0.0157
116.25,3.732,64.621,0.0155
117.75,3.732,62.867,0.0159
119.25,3.732,60.755,0.0165
0.75,4.78,162.89,0.006139
2.25,4.78,148.3,0.006743
3.75,4.78,136.51,0.007325
5.25,4.78,118,0.008475
6.75,4.78,95.398,0.0105
8.25,4.78,82.835,0.0121
9.75,4.78,80.862,0.0124
11.25,4.78,80.661,0.0124
12.75,4.78,80.776,0.0124
14.25,4.78,81.065,0.0123
15.75,4.78,81.504,0.0123
17.25,4.78,82.648,0.0121
18.75,4.78,84.479,0.0118
20.25,4.78,91.802,0.0109
21.75,4.78,105.44,0.009484
23.25,4.78,124.9,0.008006
24.75,4.78,135.88,0.007359
26.25,4.78,134.66,0.007426
27.75,4.78,130.07,0.007688
29.25,4.78,129.27,0.007736
30.75,4.78,130.06,0.007689
32.25,4.78,134.09,0.007458
33.75,4.78,141.69,0.007058
35.25,4.78,96.44,0.0104
36.75,4.78,90.324,0.0111
38.25,4.78,90.138,0.0111
39.75,4.78,95.404,0.0105
41.25,4.78,101.46,0.009856
42.75,4.78,111.24,0.00899
44.25,4.78,114.3,0.008749
45.75,4.78,125.02,0.007999
47.25,4.78,138.94,0.007197
48.75,4.78,142.08,0.007038
50.25,4.78,143.1,0.006988
51.75,4.78,143.49,0.006969
53.25,4.78,143.02,0.006992
54.75,4.78,142.2,0.007032
56.25,4.78,135.36,0.007388
57.75,4.78,126.7,0.007893
59.25,4.78,122.11,0.008189
60.75,4.78,120.01,0.008333
62.25,4.78,120.6,0.008292
63.75,4.78,170.97,0.005849
65.25,4.78,666.77,0.0015
66.75,4.78,873.05,0.001145
68.25,4.78,1016.1,0.000984
69.75,4.78,1007.6,0.000992
