elec_pos,depth,rho,cond
8.25,7.201,381.86,0.002619
9.75,7.201,411.51,0.00243
11.25,7.201,438.64,0.00228
12.75,7.201,455.69,0.002194
14.25,7.201,460.07,0.002174
15.75,7.201,458.61,0.002181
17.25,7.201,436.84,0.002289
18.75,7.201,404.64,0.002471
20.25,7.201,345.79,0.002892
21.75,7.201,310.42,0.003221
23.25,7.201,298.69,0.003348
24.75,7.201,293.76,0.003404
26.25,7.201,292,0.003425
27.75,7.201,297.28,0.003364
29.25,7.201,305.19,0.003277
30.75,7.201,310.85,0.003217
32.25,7.201,308.09,0.003246
33.75,7.201,305.78,0.00327
35.25,7.201,300.07,0.003333
36.75,7.201,287.48,0.003479
38.25,7.201,269.79,0.003707
39.75,7.201,252.92,0.003954
41.25,7.201,231.65,0.004317
42.75,7.201,206.35,0.004846
44.25,7.201,185.35,0.005395
45.75,7.201,177.36,0.005638
0.75,8.596,199.28,0.005018
2.25,8.596,203.2,0.004921
3.75,8.596,214.7,0.004658
5.25,8.596,234.96,0.004256
6.75,8.596,272.44,0.003671
8.25,8.596,322.32,0.003103
9.75,8.596,355.29,0.002815
11.25,8.596,370.35,0.0027
12.75,8.596,386.01,0.002591
14.25,8.596,397.49,0.002516
15.75,8.596,405.89,0.002464
17.25,8.596,406.52,0.00246
18.75,8.596,385.44,0.002594
20.25,8.596,340.69,0.002935
21.75,8.596,299.5,0.003339
23.25,8.596,287.19,0.003482
24.75,8.596,283.92,0.003522
26.25,8.596,282.67,0.003538
27.75,8.596,285.39,0.003504
29.25,8.596,295.08,0.003389
30.75,8.596,294.88,0.003391
32.25,8.596,292.87,0.003414
33.75,8.596,291.23,0.003434
35.25,8.596,287.74,0.003475
36.75,8.596,277.05,0.003609
38.25,8.596,257.76,0.00388
39.75,8.596,236.4,0.00423
41.25,8.596,213.59,0.004682
42.75,8.596,194.2,0.005149
44.25,8.596,179.44,0.005573
45.75,8.596,174.59,0.005728
0.75,10.131,179.42,0.005574
2.25,10.131,189.34,0.005282
3.75,10.131,196,0.005102
5.25,10.131,211.36,0.004731
6.75,10.131,243.56,0.004106
8.25,10.131,287.74,0.003475
9.75,10.131,323.84,0.003088
11.25,10.131,343.49,0.002911
12.75,10.131,357.4,0.002798
14.25,10.131,374.34,0.002671
15.75,10.131,387.94,0.002578
17.25,10.131,393,0.002545
18.75,10.131,375,0.002667
20.25,10.131,334.1,0.002993
21.75,10.131,296.1,0.003377
23.25,10.131,281.69,0.00355
24.75,10.131,279.69,0.003575
26.25,10.131,279.42,0.003579
27.75,10.131,280.36,0.003567
29.25,10.131,284.17,0.003519
30.75,10.131,283.78,0.003524
32.25,10.131,283.1,0.003532
33.75,10.131,282.05,0.003545
35.25,10.131,278.55,0.00359
36.75,10.131,268.5,0.003724
38.25,10.131,248.44,0.004025
39.75,10.131,224.32,0.004458
41.25,10.131,202.17,0.004946
42.75,10.131,183.63,0.005446
44.25,10.131,169.21,0.00591
45.75,10.131,156.76,0.006379
