elec_pos,depth,rho,cond,groundwater_presence
110.25,1.912,58.549,0.0171,1
111.75,1.912,57.893,0.0173,1
113.25,1.912,51.396,0.0195,1
114.75,1.912,59.945,0.0167,1
116.25,1.912,68.743,0.0145,1
117.75,1.912,69.06,0.0145,1
119.25,1.912,88.064,0.0114,1
0.75,2.779,171.7,0.005824,0
2.25,2.779,162.59,0.00615,0
3.75,2.779,114.05,0.008768,0
5.25,2.779,84.784,0.0118,1
6.75,2.779,65.98,0.0152,1
8.25,2.779,57.342,0.0174,1
9.75,2.779,52.294,0.0191,1
11.25,2.779,52.221,0.0191,1
12.75,2.779,63.445,0.0158,1
14.25,2.779,70.97,0.0141,1
15.75,2.779,74.402,0.0134,1
17.25,2.779,68.555,0.0146,1
18.75,2.779,69.451,0.0144,1
20.25,2.779,66.922,0.0149,1
21.75,2.779,63.48,0.0158,1
23.25,2.779,67.223,0.0149,1
24.75,2.779,70.975,0.0141,1
26.25,2.779,78.508,0.0127,1
27.75,2.779,86.839,0.0115,1
29.25,2.779,95.241,0.0105,1
30.75,2.779,104.34,0.009584,0
32.25,2.779,125.25,0.007984,0
33.75,2.779,156.74,0.00638,0
35.25,2.779,48.843,0.0205,1
36.75,2.779,54.126,0.0185,1
38.25,2.779,54.783,0.0183,1
39.75,2.779,53.72,0.0186,1
41.25,2.779,71.547,0.014,1
42.75,2.779,108.33,0.009231,0
44.25,2.779,112.05,0.008925,0
45.75,2.779,119.89,0.008341,0
47.25,2.779,144.95,0.006899,0
48.75,2.779,156.83,0.006376,0
50.25,2.779,158.8,0.006297,0
51.75,2.779,146.03,0.006848,0
53.25,2.779,145.76,0.006861,0
54.75,2.779,157.35,0.006355,0
56.25,2.779,151.07,0.006619,0
57.75,2.779,162.77,0.006144,0
59.25,2.779,162.02,0.006172,0
60.75,2.779,156.2,0.006402,0
62.25,2.779,149.0,0.006711,0
63.75,2.779,170.87,0.005852,0
65.25,2.779,1150.6,0.000869,0
66.75,2.779,1320.7,0.000757,0
68.25,2.779,2198.9,0.000455,0
69.75,2.779,1956.6,0.000511,0
71.25,2.779,628.91,0.00159,0
72.75,2.779,577.29,0.001732,0
74.25,2.779,440.61,0.00227,0
75.75,2.779,33.845,0.0295,1
77.25,2.779,34.265,0.0292,1
78.75,2.779,113.42,0.008817,0
80.25,2.779,114.12,0.008763,0
81.75,2.779,111.22,0.008991,0
83.25,2.779,113.22,0.008832,0
84.75,2.779,93.197,0.0107,1
86.25,2.779,81.241,0.0123,1
87.75,2.779,87.089,0.0115,1
89.25,2.779,95.453,0.0105,1
90.75,2.779,111.06,0.009004,0
92.25,2.779,113.22,0.008832,0
93.75,2.779,116.1,0.008613,0
95.25,2.779,117.65,0.0085,0
96.75,2.779,115.85,0.008632,0
98.25,2.779,117.98,0.008476,0
99.75,2.779,125.15,0.00799,0
101.25,2.779,112.04,0.008925,0
102.75,2.779,105.6,0.00947,0
104.25,2.779,97.168,0.0103,1
105.75,2.779,83.747,0.0119,1
107.25,2.779,82.999,0.012,1
108.75,2.779,61.721,0.0162,1
110.25,2.779,57.978,0.0172,1
111.75,2.779,57.686,0.0173,1
113.25,2.779,58.405,0.0171,1
114.75,2.779,62.616,0.016,1
116.25,2.779,65.878,0.0152,1
117.75,2.779,65.353,0.0153,1
119.25,2.779,62.184,0.0161,1
0.75,3.732,170.77,0.005856,0
2.25,3.732,154.16,0.006487,0
3.75,3.732,130.59,0.007658,0
5.25,3.732,101.65,0.009838,0
6.75,3.732,71.877,0.0139,1
8.25,3.732,57.127,0.0175,1
9.75,3.732,54.512,0.0183,1
11.25,3.732,54.218,0.0184,1
12.75,3.732,67.877,0.0147,1
14.25,3.732,72.72,0.0138,1
15.75,3.732,75.264,0.0133,1
17.25,3.732,76.21,0.0131,1
18.75,3.732,78.029,0.0128,1
20.25,3.732,84.532,0.0118,1
21.75,3.732,90.9,0.011,1
23.25,3.732,106.58,0.009383,0
24.75,3.732,118.33,0.008451,0
26.25,3.732,124.72,0.008018,0
27.75,3.732,124.71,0.008019,0
29.25,3.732,125.2,0.007987,0
30.75,3.732,126.61,0.007898,0
32.25,3.732,133.3,0.007502,0
33.75,3.732,149.23,0.006701,0
35.25,3.732,64.22,0.0156,1
36.75,3.732,62.841,0.0159,1
38.25,3.732,59.334,0.0169,1
39.75,3.732,79.594,0.0126,1
41.25,3.732,80.688,0.0124,1
42.75,3.732,106.56,0.009384,0
44.25,3.732,112.33,0.008902,0
45.75,3.732,119.99,0.008334,0
47.25,3.732,139.72,0.007157,0
48.75,3.732,143.06,0.00699,0
50.25,3.732,143.89,0.00695,0
51.75,3.732,144.48,0.006921,0
53.25,3.732,144.43,0.006924,0
54.75,3.732,150.58,0.006641,0
56.25,3.732,146.83,0.006811,0
57.75,3.732,142.09,0.007038,0
59.25,3.732,130.44,0.007666,0
60.75,3.732,127.39,0.00785,0
62.25,3.732,126.98,0.007875,0
63.75,3.732,170.33,0.005871,0
65.25,3.732,1066.0,0.000938,0
66.75,3.732,1333.7,0.00075,0
68.25,3.732,2155.2,0.000464,0
69.75,3.732,2078.7,0.000481,0
71.25,3.732,652.94,0.001532,0
72.75,3.732,558.03,0.001792,0
74.25,3.732,433.98,0.002304,0
75.75,3.732,105.95,0.009438,0
77.25,3.732,106.86,0.009358,0
78.75,3.732,119.96,0.008336,0
80.25,3.732,120.49,0.008299,0
81.75,3.732,116.95,0.008551,0
83.25,3.732,117.25,0.008529,0
84.75,3.732,100.29,0.009971,0
86.25,3.732,100.97,0.009904,0
87.75,3.732,103.96,0.009619,0
89.25,3.732,106.19,0.009417,0
90.75,3.732,111.35,0.008981,0
92.25,3.732,113.4,0.008818,0
93.75,3.732,115.72,0.008642,0
95.25,3.732,117.84,0.008486,0
96.75,3.732,117.26,0.008528,0
98.25,3.732,119.14,0.008393,0
99.75,3.732,120.2,0.008319,0
101.25,3.732,112.87,0.00886,0
102.75,3.732,105.21,0.009505,0
104.25,3.732,97.421,0.0103,1
105.75,3.732,84.852,0.0118,1
107.25,3.732,84.196,0.0119,1
108.75,3.732,73.532,0.0136,1
110.25,3.732,65.774,0.0152,1
111.75,3.732,63.664,0.0157,1
113.25,3.732,63.324,0.0158,1
114.75,3.732,63.707,0.0157,1
116.25,3.732,64.621,0.0155,1
117.75,3.732,62.867,0.0159,1
119.25,3.732,60.755,0.0165,1
0.75,4.78,162.89,0.006139,0
2.25,4.78,148.3,0.006743,0
3.75,4.78,136.51,0.007325,0
5.25,4.78,118.0,0.008475,0
6.75,4.78,95.398,0.0105,1
8.25,4.78,82.835,0.0121,1
9.75,4.78,80.862,0.0124,1
11.25,4.78,80.661,0.0124,1
12.75,4.78,80.776,0.0124,1
14.25,4.78,81.065,0.0123,1
15.75,4.78,81.504,0.0123,1
17.25,4.78,82.648,0.0121,1
18.75,4.78,84.479,0.0118,1
20.25,4.78,91.802,0.0109,1
21.75,4.78,105.44,0.009484,0
23.25,4.78,124.9,0.008006,0
24.75,4.78,135.88,0.007359,0
